fid,srtm_36_04,X,Y
"133",708.0000000000,-2.9729166667,42.3920833330
"134",710.0000000000,-2.9720833333,42.3920833330
"135",711.0000000000,-2.9712500000,42.3920833330
"136",713.0000000000,-2.9704166667,42.3920833330
"137",715.0000000000,-2.9695833333,42.3920833330
"138",718.0000000000,-2.9687500000,42.3920833330
"139",717.0000000000,-2.9679166667,42.3920833330
"140",720.0000000000,-2.9670833333,42.3920833330
"141",725.0000000000,-2.9662500000,42.3920833330
"142",726.0000000000,-2.9654166667,42.3920833330
"143",724.0000000000,-2.9645833333,42.3920833330
"144",728.0000000000,-2.9637500000,42.3920833330
"145",736.0000000000,-2.9629166667,42.3920833330
"146",744.0000000000,-2.9620833333,42.3920833330
"147",745.0000000000,-2.9612500000,42.3920833330
"148",744.0000000000,-2.9604166667,42.3920833330
"149",745.0000000000,-2.9595833333,42.3920833330
"150",748.0000000000,-2.9587500000,42.3920833330
"151",751.0000000000,-2.9579166667,42.3920833330
"152",759.0000000000,-2.9570833333,42.3920833330
"153",765.0000000000,-2.9562500000,42.3920833330
"154",773.0000000000,-2.9554166667,42.3920833330
"155",780.0000000000,-2.9545833333,42.3920833330
"156",786.0000000000,-2.9537500000,42.3920833330
"157",797.0000000000,-2.9529166667,42.3920833330
"158",807.0000000000,-2.9520833333,42.3920833330
"159",814.0000000000,-2.9512500000,42.3920833330
"160",821.0000000000,-2.9504166667,42.3920833330
"161",819.0000000000,-2.9495833333,42.3920833330
"162",826.0000000000,-2.9487500000,42.3920833330
"163",832.0000000000,-2.9479166667,42.3920833330
"164",832.0000000000,-2.9470833333,42.3920833330
"165",827.0000000000,-2.9462500000,42.3920833330
"166",823.0000000000,-2.9454166667,42.3920833330
"167",829.0000000000,-2.9445833333,42.3920833330
"168",837.0000000000,-2.9437500000,42.3920833330
"169",845.0000000000,-2.9429166667,42.3920833330
"170",857.0000000000,-2.9420833333,42.3920833330
"171",874.0000000000,-2.9412500000,42.3920833330
"172",883.0000000000,-2.9404166667,42.3920833330
"173",884.0000000000,-2.9395833333,42.3920833330
"174",894.0000000000,-2.9387500000,42.3912500000
"175",902.0000000000,-2.9379166667,42.3912500000
"176",910.0000000000,-2.9370833333,42.3912500000
"177",917.0000000000,-2.9362500000,42.3912500000
"178",913.0000000000,-2.9354166667,42.3912500000
"179",909.0000000000,-2.9345833333,42.3912500000
"180",912.0000000000,-2.9337500000,42.3912500000
"181",918.0000000000,-2.9329166667,42.3912500000
"182",920.0000000000,-2.9320833333,42.3912500000
"183",915.0000000000,-2.9312500000,42.3912500000
"184",912.0000000000,-2.9304166667,42.3912500000
"185",919.0000000000,-2.9295833333,42.3912500000
"186",926.0000000000,-2.9287500000,42.3912500000
"187",921.0000000000,-2.9279166667,42.3912500000
"188",910.0000000000,-2.9270833333,42.3912500000
"189",897.0000000000,-2.9262500000,42.3912500000
"190",893.0000000000,-2.9254166667,42.3912500000
"191",891.0000000000,-2.9245833333,42.3912500000
"192",883.0000000000,-2.9237500000,42.3912500000
"193",878.0000000000,-2.9229166667,42.3912500000
"194",875.0000000000,-2.9220833333,42.3912500000
"195",869.0000000000,-2.9212500000,42.3912500000
"196",869.0000000000,-2.9204166667,42.3912500000
"197",876.0000000000,-2.9195833333,42.3912500000
